gap_type,count_index_from,count_index_to,p_from,p_to,anchor_delta,missing_indices,host,gap_d1,gap_d2,verify_ok
anchor_enumeration,330,331,2266631,2289641,23010,,,,,True
anchor_enumeration,331,332,2289641,2290031,390,,,,,True
anchor_enumeration,332,333,2290031,2294051,4020,,,,,True
anchor_enumeration,333,334,2294051,2303591,9540,,,,,True
anchor_enumeration,334,335,2303591,2340251,36660,,,,,True
anchor_enumeration,335,336,2340251,2342771,2520,,,,,True
anchor_enumeration,336,337,2342771,2362271,19500,,,,,True
anchor_enumeration,337,338,2362271,2373401,11130,,,,,True
anchor_enumeration,338,339,2373401,2376161,2760,,,,,True
anchor_enumeration,339,340,2376161,2381081,4920,,,,,True
anchor_enumeration,340,341,2381081,2403881,22800,,,,,True
anchor_enumeration,341,342,2403881,2413421,9540,,,,,True
anchor_enumeration,342,343,2413421,2418671,5250,,,,,True
anchor_enumeration,343,344,2418671,2423411,4740,,,,,True
anchor_enumeration,344,345,2423411,2443781,20370,,,,,True
anchor_enumeration,345,346,2443781,2458661,14880,,,,,True
anchor_enumeration,346,347,2458661,2470331,11670,,,,,True
anchor_enumeration,347,348,2470331,2478521,8190,,,,,True
anchor_enumeration,348,349,2478521,2479661,1140,,,,,True
anchor_enumeration,349,350,2479661,2499941,20280,,,,,True
anchor_enumeration,350,351,2499941,2508041,8100,,,,,True
anchor_enumeration,351,352,2508041,2535101,27060,,,,,True
anchor_enumeration,352,353,2535101,2541941,6840,,,,,True
anchor_enumeration,353,354,2541941,2546231,4290,,,,,True
anchor_enumeration,354,355,2546231,2552111,5880,,,,,True
anchor_enumeration,355,356,2552111,2552651,540,,,,,True
anchor_enumeration,356,357,2552651,2561261,8610,,,,,True
anchor_enumeration,357,358,2561261,2564321,3060,,,,,True
anchor_enumeration,358,359,2564321,2576591,12270,,,,,True
anchor_enumeration,359,360,2576591,2594951,18360,,,,,True
anchor_enumeration,360,361,2594951,2594981,30,,,,,True
anchor_enumeration,361,362,2594981,2596661,1680,,,,,True
anchor_enumeration,362,363,2596661,2604731,8070,,,,,True
anchor_enumeration,363,364,2604731,2614061,9330,,,,,True
anchor_enumeration,364,365,2614061,2635481,21420,,,,,True
anchor_enumeration,365,366,2635481,2668241,32760,,,,,True
anchor_enumeration,366,367,2668241,2673521,5280,,,,,True
anchor_enumeration,367,368,2673521,2674541,1020,,,,,True
anchor_enumeration,368,369,2674541,2679491,4950,,,,,True
anchor_enumeration,369,370,2679491,2683781,4290,,,,,True
anchor_enumeration,370,371,2683781,2696921,13140,,,,,True
anchor_enumeration,371,372,2696921,2704901,7980,,,,,True
anchor_enumeration,372,373,2704901,2712371,7470,,,,,True
anchor_enumeration,373,374,2712371,2715281,2910,,,,,True
anchor_enumeration,374,375,2715281,2728541,13260,,,,,True
anchor_enumeration,375,376,2728541,2731691,3150,,,,,True
anchor_enumeration,376,377,2731691,2731901,210,,,,,True
anchor_enumeration,377,378,2731901,2759291,27390,,,,,True
anchor_enumeration,378,379,2759291,2761721,2430,,,,,True
anchor_enumeration,379,380,2761721,2764121,2400,,,,,True
anchor_enumeration,380,381,2764121,2790251,26130,,,,,True
