index,p1,p2,p3,p4,channels,span,gaps,canonical
86,2251,2267,2297,2473,"B,C,A,E",222,"16,30,176",False
87,2287,2309,2339,2521,"B,A,C,E",234,"22,30,182",False
88,2311,2333,2351,2557,"B,A,C,E",246,"22,18,206",False
89,2347,2357,2399,2593,"B,A,C,E",246,"10,42,194",False
90,2371,2381,2411,2617,"B,A,C,E",246,"10,30,206",False
91,2383,2393,2423,2677,"B,A,C,E",294,"10,30,254",False
92,2417,2447,2467,2689,"A,C,B,E",272,"30,20,222",False
93,2441,2459,2503,2713,"A,C,B,E",272,"18,44,210",False
94,2477,2531,2539,2749,"A,C,B,E",272,"54,8,210",False
95,2543,2549,2551,2797,"C,A,B,E",254,"6,2,246",False
96,2579,2609,2647,2833,"C,A,B,E",254,"30,38,186",False
97,2591,2621,2659,2857,"C,A,B,E",266,"30,38,198",False
98,2633,2663,2671,2917,"A,C,B,E",284,"30,8,246",False
99,2657,2683,2687,2953,"A,B,C,E",296,"26,4,266",False
100,2693,2699,2707,3001,"A,C,B,E",308,"6,8,294",False
101,2711,2719,2729,3037,"C,B,A,E",326,"8,10,308",False
102,2731,2741,2819,3049,"B,A,C,E",318,"10,78,230",False
103,2753,2767,2843,3061,"A,B,C,E",308,"14,76,218",False
104,2777,2791,2879,3109,"A,B,C,E",332,"14,88,230",False
105,2789,2803,2903,3121,"A,B,C,E",332,"14,100,218",False
106,2801,2851,2927,3169,"A,B,C,E",368,"50,76,242",False
107,2837,2887,2939,3181,"A,B,C,E",344,"50,52,242",False
108,2861,2963,2971,3217,"A,C,B,E",356,"102,8,246",False
109,2897,2999,3019,3229,"A,C,B,E",332,"102,20,210",False
110,2909,3011,3067,3253,"A,C,B,E",344,"102,56,186",False
111,2957,3023,3079,3301,"A,C,B,E",344,"66,56,222",False
112,2969,3083,3163,3313,"A,C,B,E",344,"114,80,150",False
113,3041,3119,3187,3361,"A,C,B,E",320,"78,68,174",False
114,3089,3167,3259,3373,"A,C,B,E",284,"78,92,114",False
115,3137,3191,3271,3433,"A,C,B,E",296,"54,80,162",False
116,3203,3209,3307,3457,"C,A,B,E",254,"6,98,150",False
117,3221,3251,3319,3469,"A,C,B,E",248,"30,68,150",False
118,3257,3299,3331,3517,"A,C,B,E",260,"42,32,186",False
119,3323,3329,3343,3529,"C,A,B,E",206,"6,14,186",False
120,3347,3389,3391,3541,"C,A,B,E",194,"42,2,150",False
121,3359,3413,3463,3613,"C,A,B,E",254,"54,50,150",False
122,3371,3449,3499,3637,"C,A,B,E",266,"78,50,138",False
123,3407,3461,3511,3673,"C,A,B,E",266,"54,50,162",False
124,3467,3533,3547,3697,"C,A,B,E",230,"66,14,150",False
125,3491,3557,3559,3709,"C,A,B,E",218,"66,2,150",False
126,3527,3571,3581,3733,"C,B,A,E",206,"44,10,152",False
127,3539,3583,3593,3769,"C,B,A,E",230,"44,10,176",False
128,3607,3617,3623,3793,"B,A,C,E",186,"10,6,170",False
129,3631,3659,3677,3853,"B,C,A,E",222,"28,18,176",False
130,3643,3671,3701,3877,"B,C,A,E",234,"28,30,176",False
131,3691,3719,3761,3889,"B,C,A,E",198,"28,42,128",False
132,3727,3767,3797,4021,"B,C,A,E",294,"40,30,224",False
133,3739,3779,3821,4057,"B,C,A,E",318,"40,42,236",False
134,3803,3823,3833,4093,"C,B,A,E",290,"20,10,260",False
135,3847,3851,3881,4129,"B,C,A,E",282,"4,30,248",False
136,3863,3907,3917,4153,"C,B,A,E",290,"44,10,236",False
137,3911,3919,3929,4177,"C,B,A,E",266,"8,10,248",False
138,3923,3931,3989,4201,"C,B,A,E",278,"8,58,212",False
139,3943,3947,4001,4261,"B,C,A,E",318,"4,54,260",False
140,3967,4007,4013,4273,"B,C,A,E",306,"40,6,260",False
141,4003,4019,4049,4297,"B,C,A,E",294,"16,30,248",False
142,4027,4073,4079,4357,"B,A,C,E",330,"46,6,278",False
143,4051,4091,4133,4441,"B,C,A,E",390,"40,42,308",False
144,4099,4127,4157,4513,"B,C,A,E",414,"28,30,356",False
