p,p_plus_2,p_plus_6,p_plus_8,vortex_winding,trivial_winding,phase_closure_ok,ceab_closure_ok,encircles_defect,pop_threshold_steps,rotor_steps,rotor_gap_cycle,status
768191,768193,768197,768199,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
773021,773023,773027,773029,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
795791,795793,795797,795799,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
803441,803443,803447,803449,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
814061,814063,814067,814069,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
822161,822163,822167,822169,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
823721,823723,823727,823729,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
829721,829723,829727,829729,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
833711,833713,833717,833719,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
837071,837073,837077,837079,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
845981,845983,845987,845989,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
854921,854923,854927,854929,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
855731,855733,855737,855739,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
857951,857953,857957,857959,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
875261,875263,875267,875269,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
876011,876013,876017,876019,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
881471,881473,881477,881479,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
889871,889873,889877,889879,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
907391,907393,907397,907399,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
930071,930073,930077,930079,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
938051,938053,938057,938059,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
946661,946663,946667,946669,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
954971,954973,954977,954979,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
958541,958543,958547,958549,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
959471,959473,959477,959479,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
976301,976303,976307,976309,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
978071,978073,978077,978079,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
983441,983443,983447,983449,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
